Employee_ID	First_Name	Last_Name	Division	Department	DOJ	Working_hrs	Hourly_rate	
GBW77	Laura	Reagan	Connecticut	Sales	1990-8-12	35.00	24.00	"('GBW77','Laura','Reagan','Connecticut','Sales','1990-8-12',35,24),"
GS40	Brian	Smith	Maine	Staff	1988-11-5	40.00	19.50	"('GS40','Brian','Smith','Maine','Staff','1988-11-5',40,19.5),"
GW32	Mary	Barber	Maine	Sales	1987-11-25	35.50	12.50	"('GW32','Mary','Barber','Maine','Sales','1987-11-25',35.5,12.5),"
AW24	Peter	Allen	Vermont	Sales	1986-5-31	40.00	8.75	"('AW24','Peter','Allen','Vermont','Sales','1986-5-31',40,8.75),"
GC12	Mary	Altman	Maine	Development	1987-9-9	29.50	6.50	"('GC12','Mary','Altman','Maine','Development','1987-9-9',29.5,6.5),"
CA06	Fred	Mallory	New Hampshire	Research	1983-6-17	38.00	15.50	"('CA06','Fred','Mallory','New Hampshire','Research','1983-6-17',38,15.5),"
GBC65	Molly	Steadman	Connecticut	Development	1989-8-15	40.00	22.00	"('GBC65','Molly','Steadman','Connecticut','Development','1989-8-15',40,22),"
GBC49	Greg	Connors	Connecticut	Development	1987-11-4	38.00	15.50	"('GBC49','Greg','Connors','Connecticut','Development','1987-11-4',38,15.5),"
GBA29	Kathy	Mayron	Connecticut	Research	1986-5-19	40.00	8.22	"('GBA29','Kathy','Mayron','Connecticut','Research','1986-5-19',40,8.22),"
GS07	Bill	Simpson	Maine	Staff	1982-1-12	40.00	19.50	"('GS07','Bill','Simpson','Maine','Staff','1982-1-12',40,19.5),"
GBA28	Michael	Richardson	Connecticut	Research	1986-3-23	35.00	24.00	"('GBA28','Michael','Richardson','Connecticut','Research','1986-3-23',35,24),"
AA35	Melanie	Bowers	Vermont	Research	1986-12-5	15.50	6.50	"('AA35','Melanie','Bowers','Vermont','Research','1986-12-5',15.5,6.5),"
GBS16	Kyle	EarnhSales	Connecticut	Staff	1984-10-8	40.00	22.00	"('GBS16','Kyle','EarnhSales','Connecticut','Staff','1984-10-8',40,22),"
GBC64	Lance	Davies	Connecticut	Development	1988-12-30	32.00	5.50	"('GBC64','Lance','Davies','Connecticut','Development','1988-12-30',32,5.5),"
CC23	Anne	Davidson	New Hampshire	Development	1986-4-6	25.00	8.52	"('CC23','Anne','Davidson','New Hampshire','Development','1986-4-6',25,8.52),"
CA40	Doug	Briscoll	New Hampshire	Research	1987-5-26	38.00	15.50	"('CA40','Doug','Briscoll','New Hampshire','Research','1987-5-26',38,15.5),"
GW37	George	Feldsott	Maine	Sales	1987-12-3	35.50	12.50	"('GW37','George','Feldsott','Maine','Sales','1987-12-3',35.5,12.5),"
AS29	Steve	Singer	Vermont	Staff	1986-10-5	40.00	21.50	"('AS29','Steve','Singer','Vermont','Staff','1986-10-5',40,21.5),"
GBA14	Carol	Tucker	Connecticut	Research	1984-4-12	38.00	15.50	"('GBA14','Carol','Tucker','Connecticut','Research','1984-4-12',38,15.5),"
GC20	Henry	Paterson	Maine	Development	1987-10-28	40.00	21.50	"('GC20','Henry','Paterson','Maine','Development','1987-10-28',40,21.5),"
GBA21	Brooks	Hillen	Connecticut	Research	1986-1-15	35.00	24.00	"('GBA21','Brooks','Hillen','Connecticut','Research','1986-1-15',35,24),"
GBC09	Dominick	Mazza	Connecticut	Development	1986-10-10	40.00	21.50	"('GBC09','Dominick','Mazza','Connecticut','Development','1986-10-10',40,21.5),"
CW30	Jennifer	Snyder	New Hampshire	Sales	1988-6-7	25.00	8.52	"('CW30','Jennifer','Snyder','New Hampshire','Sales','1988-6-7',25,8.52),"
AW69	Joshua	Maccaluso	Vermont	Sales	1991-1-23	40.00	21.50	"('AW69','Joshua','Maccaluso','Vermont','Sales','1991-1-23',40,21.5),"
GBW05	Bill	Wheeler	Connecticut	Sales	1981-8-14	38.00	15.50	"('GBW05','Bill','Wheeler','Connecticut','Sales','1981-8-14',38,15.5),"
GBS69	Todd	Masters	Connecticut	Staff	1989-11-23	40.00	12.60	"('GBS69','Todd','Masters','Connecticut','Staff','1989-11-23',40,12.6),"
GW30	Karina	Abel	Maine	Sales	1987-1-12	42.00	16.75	"('GW30','Karina','Abel','Maine','Sales','1987-1-12',42,16.75),"
AC27	Edward	Trelly	Vermont	Development	1986-6-17	40.00	8.75	"('AC27','Edward','Trelly','Vermont','Development','1986-6-17',40,8.75),"
GBA24	Christina	Lillie	Connecticut	Research	1987-5-29	25.00	8.52	"('GBA24','Christina','Lillie','Connecticut','Research','1987-5-29',25,8.52),"
AW58	Michael	Lewis	Vermont	Sales	1989-4-27	15.50	6.50	"('AW58','Michael','Lewis','Vermont','Sales','1989-4-27',15.5,6.5),"
GA08	Jerry	McDonald	Maine	Research	1982-7-7	40.00	15.50	"('GA08','Jerry','McDonald','Maine','Research','1982-7-7',40,15.5),"
AC17	Lynne	Simmons	Vermont	Development	1988-11-23	35.00	12.10	"('AC17','Lynne','Simmons','Vermont','Development','1988-11-23',35,12.1),"
AA25	Lindsey	Winger	Vermont	Research	1986-2-1	35.00	24.00	"('AA25','Lindsey','Winger','Vermont','Research','1986-2-1',35,24),"
CW03	Chris	Reed	New Hampshire	Sales	1984-3-27	35.50	13.30	"('CW03','Chris','Reed','New Hampshire','Sales','1984-3-27',35.5,13.3),"
GA23	Paula	Robinson	Maine	Research	1987-12-7	29.50	6.50	"('GA23','Paula','Robinson','Maine','Research','1987-12-7',29.5,6.5),"
GBW66	William	Abel	Connecticut	Sales	1989-10-14	40.00	15.50	"('GBW66','William','Abel','Connecticut','Sales','1989-10-14',40,15.5),"
CC45	Shirley	Dandrow	New Hampshire	Development	1991-3-14	35.00	12.10	"('CC45','Shirley','Dandrow','New Hampshire','Development','1991-3-14',35,12.1),"
GS54	Kim	Smith	Maine	Staff	1989-11-27	42.00	24.00	"('GS54','Kim','Smith','Maine','Staff','1989-11-27',42,24),"
GC26	Maria	Switzer	Maine	Development	1991-6-3	29.50	13.30	"('GC26','Maria','Switzer','Maine','Development','1991-6-3',29.5,13.3),"
GA27	John	Jacobs	Maine	Research	1986-10-4	40.00	6.50	"('GA27','John','Jacobs','Maine','Research','1986-10-4',40,6.5),"
GBW12	Bradley	Howard	Connecticut	Sales	1984-2-14	40.00	7.22	"('GBW12','Bradley','Howard','Connecticut','Sales','1984-2-14',40,7.22),"
AA02	Frieda	Binga	Vermont	Research	1982-2-17	40.00	12.10	"('AA02','Frieda','Binga','Vermont','Research','1982-2-17',40,12.1),"
GC07	Holly	Taylor	Maine	Development	1984-8-17	29.50	16.75	"('GC07','Holly','Taylor','Maine','Development','1984-8-17',29.5,16.75),"
GW47	Tim	BSaleshoff	Maine	Sales	1989-10-27	40.00	6.50	"('GW47','Tim','BSaleshoff','Maine','Sales','1989-10-27',40,6.5),"
AW39	Esther	Williams	Vermont	Sales	1986-12-13	40.00	19.50	"('AW39','Esther','Williams','Vermont','Sales','1986-12-13',40,19.5),"
CS79	Theresa	Miller	New Hampshire	Staff	1991-3-4	40.00	22.00	"('CS79','Theresa','Miller','New Hampshire','Staff','1991-3-4',40,22),"
AS23	Marianne	Calvin	Vermont	Staff	1985-7-23	40.00	15.00	"('AS23','Marianne','Calvin','Vermont','Staff','1985-7-23',40,15),"
GW11	Sue	Petty	Maine	Sales	1994-11-30	40.00	6.50	"('GW11','Sue','Petty','Maine','Sales','1994-11-30',40,6.5),"
AS12	Grace	Sloan	Vermont	Staff	1984-11-2	40.00	15.50	"('AS12','Grace','Sloan','Vermont','Staff','1984-11-2',40,15.5),"
GC24	Richard	Gibbs	Maine	Development	1989-1-23	29.50	15.00	"('GC24','Richard','Gibbs','Maine','Development','1989-1-23',29.5,15),"
AW04	Lorrie	Sullivan	Vermont	Sales	1981-3-3	15.50	12.60	"('AW04','Lorrie','Sullivan','Vermont','Sales','1981-3-3',15.5,12.6),"
GBA33	Ted	Hayes	Connecticut	Research	1986-12-7	32.00	8.75	"('GBA33','Ted','Hayes','Connecticut','Research','1986-12-7',32,8.75),"
GA57	Helen	StewSales	Maine	Research	1990-5-3	42.00	15.50	"('GA57','Helen','StewSales','Maine','Research','1990-5-3',42,15.5),"
CS32	Katie	Smith	New Hampshire	Staff	1986-10-5	40.00	15.00	"('CS32','Katie','Smith','New Hampshire','Staff','1986-10-5',40,15),"
GBA23	Jane	Winters	Connecticut	Research	1989-11-7	35.00	12.60	"('GBA23','Jane','Winters','Connecticut','Research','1989-11-7',35,12.6),"
GC02	Paul	MSalesin	Maine	Development	1979-4-19	40.00	6.50	"('GC02','Paul','MSalesin','Maine','Development','1979-4-19',40,6.5),"
GBA48	Geoff	Brown	Connecticut	Research	1987-7-1	40.00	6.50	"('GBA48','Geoff','Brown','Connecticut','Research','1987-7-1',40,6.5),"
AW48	Alice	Owens	Vermont	Sales	1987-3-2	15.50	5.50	"('AW48','Alice','Owens','Vermont','Sales','1987-3-2',15.5,5.5),"
AC53	Greg	Thomas	Vermont	Development	1987-12-24	40.00	16.75	"('AC53','Greg','Thomas','Vermont','Development','1987-12-24',40,16.75),"
GS09	Sam	Whitney	Maine	Staff	1983-11-28	40.00	7.22	"('GS09','Sam','Whitney','Maine','Staff','1983-11-28',40,7.22),"
AA70	Erin	Binga	Vermont	Research	1991-4-8	40.00	12.10	"('AA70','Erin','Binga','Vermont','Research','1991-4-8',40,12.1),"
AW59	Amy	Tooley	Vermont	Sales	1990-9-1	15.50	6.50	"('AW59','Amy','Tooley','Vermont','Sales','1990-9-1',15.5,6.5),"
